PMID	Labeling_State	Correct_Label	Agreement	vector	predicted	true_cats
32893960	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.949	[0.0, 2.04, 2.66, 92.01]	2	2
31049826	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.951	[0.0, 0.0, 4.74, 95.47]	2	2
33897505	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.952	[0.62, 1.5, 2.94, 95.14]	2	1
25794289	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.962	[1.36, 0.64, 1.26, 87.79]	2	1
30062132	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.978	[0.77, 0.78, 0.6, 90.34]	2	1
32356861	Gold Standard	'0 - the study does not directly investigate quality of life'	0.978	[0.62, 95.7, 1.38, 0.0]	0	0
33036834	Gold Standard	'-1 - the paper is not a primary experimental study in rare disease'	0.979	[96.88, 1.98, 0.0, 0.0]	-1	-1
10685757	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.986	[0.64, 0.0, 0.62, 94.69]	2	2
31632349	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.986	[0.0, 0.66, 0.6, 100.3]	2	2
31475479	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.993	[0.9, 0.0, 0.0, 93.7]	2	2
34160081	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	1.0	[0.0, 0.0, 3.66, 0.0]	1	1
25870456	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 2.0, 0.0, 0.0]	0	0
27468682	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	1.0	[0.0, 5.02, 0.0, 0.0]	0	1
29754868	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 3.84, 0.0, 0.0]	0	0
25972904	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 2.13]	2	2
27629372	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	1.0	[0.0, 0.0, 2.86, 0.0]	1	1
33238717	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 5.54]	2	2
34633580	Gold Standard	'-1 - the paper is not a primary experimental study in rare disease'	1.0	[14.09, 0.0, 0.0, 0.0]	-1	-1
29459061	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 2.36, 0.0, 0.0]	0	0
28426778	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 2.82]	2	2
30561084	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 2.9]	2	2
31653707	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	1.0	[0.0, 0.0, 2.92, 0.0]	1	1
28663407	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 2.82]	2	2
29994930	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 3.4]	2	2
29533755	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	1.0	[0.0, 0.0, 2.88, 0.0]	1	1
29316973	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 2.84, 0.0, 0.0]	0	0
32702212	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 1.98]	2	2
31242892	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	1.0	[0.0, 0.0, 4.43, 0.0]	1	1
32580399	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	1.0	[0.0, 0.0, 3.55, 0.0]	1	1
32555313	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 1.39, 0.0, 0.0]	0	0
30009566	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 4.13, 0.0, 0.0]	0	0
19797134	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 3.52]	2	2
23019410	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 2.81, 0.0, 0.0]	0	0
27760661	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 0.0, 1.42, 0.0]	1	0
33912655	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 3.47, 0.0, 0.0]	0	0
31290422	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 2.67, 0.0, 0.0]	0	0
17684891	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 3.48]	2	2
15030903	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 2.69, 0.0, 0.0]	0	0
16652078	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 3.48]	2	2
28649320	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 3.06, 0.0, 0.0]	0	0
23021735	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 1.28]	2	2
22087461	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 1.38, 0.0, 0.0]	0	0
25976687	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 5.39]	2	2
31590945	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 2.29]	2	2
31330987	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 4.82]	2	2
34037850	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	1.0	[0.0, 2.76, 0.0, 0.0]	0	1
29082797	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.66, 0.0, 0.0, 0.0]	-1	2
28558706	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 1.9, 0.0, 0.0]	0	0
29786243	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 2.16, 0.0, 0.0]	0	0
34375802	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 4.36]	2	2
32642740	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 2.7]	2	2
34020203	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	1.0	[0.0, 0.0, 3.4, 0.0]	1	1
29689733	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 2.83]	2	2
28232410	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 2.68]	2	2
29625617	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 2.91, 0.0, 0.0]	0	0
15107734	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 5.61]	2	2
25896138	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 1.26, 0.0, 0.0]	0	0
32484386	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	1.0	[0.0, 0.0, 4.76, 0.0]	1	1
16534790	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 1.52, 0.0, 0.0]	0	0
31463603	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	1.0	[0.0, 0.0, 2.01, 0.0]	1	1
24075522	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 1.53, 0.0, 0.0]	0	0
32191135	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 2.04]	2	2
29860398	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 2.96, 0.0, 0.0]	0	0
30241056	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 1.4, 0.0, 0.0]	0	0
33681658	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 1.32, 0.0, 0.0]	0	0
21225518	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 5.72]	2	2
23783017	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 2.3]	2	2
28628797	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 0.68, 0.0, 0.0]	0	0
22048969	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	1.0	[0.0, 0.0, 1.27, 0.0]	1	1
29055263	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 2.79, 0.0, 0.0]	0	0
31910111	Gold Standard	'-1 - the paper is not a primary experimental study in rare disease'	1.0	[9.8, 0.0, 0.0, 0.0]	-1	-1
32829413	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 2.06, 0.0, 0.0]	0	0
29152767	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 1.48, 0.0, 0.0]	0	2
25779467	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 2.14]	2	2
30146327	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 2.7, 0.0, 0.0]	0	0
28499135	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 2.98, 0.0, 0.0]	0	0
30523438	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 3.45]	2	2
25178347	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 2.22, 0.0, 0.0]	0	0
26033472	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 3.36, 0.0, 0.0]	0	0
20433296	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 4.22, 0.0, 0.0]	0	0
11082880	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 0.66, 0.0, 0.0]	0	0
18509577	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 1.89]	2	2
33946008	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 1.41]	2	2
15541702	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 1.94, 0.0, 0.0]	0	0
10846764	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 2.59, 0.0, 0.0]	0	0
23977038	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 0.68, 0.0, 0.0]	0	0
24433856	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	1.0	[0.0, 0.0, 1.27, 0.0]	1	1
26337264	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	1.0	[0.0, 0.0, 2.48, 0.0]	1	1
27879058	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 0.0, 0.0, 1.52]	2	0
23384412	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 2.15, 0.0, 0.0]	0	0
30908653	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	1.0	[0.0, 0.0, 2.9, 0.0]	1	1
31111502	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	1.0	[0.0, 0.0, 3.98, 0.0]	1	1
23881614	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 2.62]	2	2
34325014	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 1.5, 0.0, 0.0]	0	0
31040040	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 0.0, 0.6, 0.0]	1	0
17489811	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 1.6, 0.0, 0.0]	0	0
18635584	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 1.28, 0.0, 0.0]	0	0
32730547	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 1.4, 0.0, 0.0]	0	0
31032791	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 2.22, 0.0, 0.0]	0	0
16996395	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 2.9]	2	2
21086185	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 3.22]	2	2
14629502	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 2.24]	2	2
28498263	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 1.88]	2	2
28032156	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 1.22, 0.0, 0.0]	0	0
20467233	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 0.0, 0.6, 0.0]	1	0
28246220	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 4.5]	2	2
33341033	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 1.48]	2	2
29600940	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 3.56]	2	2
28806327	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 2.83]	2	2
16538555	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 3.02]	2	2
19540416	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 2.9, 0.0, 0.0]	0	0
32338350	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.62, 0.0]	1	2
31994164	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 4.02, 0.0, 0.0]	0	0
21743869	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 2.68]	2	2
15384087	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 96.05]	2	2
24823404	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 2.4, 0.0, 0.0]	0	0
32025252	Gold Standard	'0 - the study does not directly investigate quality of life'	1.0	[0.0, 3.16, 0.0, 0.0]	0	0
25145809	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	1.0	[0.0, 0.0, 0.0, 1.4]	2	2
